condition_id,delta_x,delta_y,distance,trials,successes,timeouts,success_rate,success_ci_low,success_ci_high,mean_successful_completion_seconds,std_successful_completion_seconds
nominal,0.0,0.0,0.0,20,20,0,1.0,0.8388748419471806,1.0,6.900000000000001,0.8004686127513058
p01,0.0,0.08,0.08,20,20,0,1.0,0.8388748419471806,1.0,8.942499999999999,0.9535820625410276
p02,0.1,0.08,0.12806248474865697,20,13,7,0.65,0.43285427668523624,0.818808175898918,11.511538461538464,1.043137620199059
p03,0.0,0.18,0.18,20,15,5,0.75,0.531299122381256,0.8881382985923343,7.916666666666667,0.9310686810804502
p04,0.18,0.05,0.18681541692269404,20,0,20,0.0,0.0,0.16112515805281938,,
p05,0.13,0.15,0.19849433241279207,20,0,20,0.0,0.0,0.16112515805281938,,
p06,0.05,0.23,0.2353720459187964,20,5,15,0.25,0.11186170140766569,0.468700877618744,9.66,1.8882266813070936
p07,0.06,0.23,0.23769728648009428,20,1,19,0.05,0.008881448800795402,0.23613119344674205,14.0,0.0
p08,0.2,0.16,0.25612496949731395,20,0,20,0.0,0.0,0.16112515805281938,,
p09,0.08,0.28,0.29120439557122074,20,0,20,0.0,0.0,0.16112515805281938,,
