condition_id,mode,n_scheduled,n_selected_valid,n_success,n_failure,n_not_yet_analyzable,coverage_fraction,success_rate_observed,success_fraction_of_scheduled,simulated_duration_mean_seconds,wall_control_duration_mean_seconds,human_active_duration_mean_seconds,human_active_fraction_mean,correction_segments_mean,translation_magnitude_active_mean,rotation_magnitude_active_mean,policy_wait_episode_count,policy_wait_ticks_total,policy_wait_events_total,policy_wait_duration_total_seconds,policy_wait_fraction_mean,human_active_policy_wait_ticks_total,inference_count_total,inference_latency_mean_seconds,wall_simulation_ratio_mean
nominal,autonomous,5,5,5,0,0,1.0,1.0,1.0,6.709999999999999,3.5013834275996487,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,136,0.09113029733110606,0.521796179525049
nominal,fixed_blend,5,5,5,0,0,1.0,1.0,1.0,7.01,9.68933237220117,1.51,0.21800961774253214,1.8,0.26031700791322837,0.04068684185127746,5,272,136,13.600000000000001,0.2794729315271284,65,141,0.09590131892901221,1.382071408933513
nominal,cosine_blend,5,5,5,0,0,1.0,1.0,1.0,6.76,9.378351731200382,1.54,0.22524408967297194,2.0,0.3180235142620257,0.04381088484066459,5,266,133,13.299999999999999,0.282218056727548,59,138,0.09555712826089724,1.3869611273276794
p02,autonomous,5,5,5,0,0,1.0,1.0,1.0,12.35,6.363260101799097,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,249,0.09090681888356122,0.5153733961463438
p02,fixed_blend,5,5,5,0,0,1.0,1.0,1.0,8.15,11.289267149000079,4.13,0.5045300093783719,4.6,0.31538115154398155,0.028097667025698443,5,318,159,15.9,0.28067799379840486,170,164,0.0955789308597404,1.3851984629719
p02,cosine_blend,5,5,3,2,0,1.0,0.6,0.6,11.55,16.07531534219961,6.1,0.5206191315263904,6.6,0.2926253530840225,0.032720403642943166,5,455,228,22.75,0.2827262017381198,235,233,0.09532969843356644,1.3916163946799558
p06,autonomous,5,5,2,3,0,1.0,0.4,0.4,13.0,6.760675956998602,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,261,0.09149492314175185,0.5203615751427879
p06,fixed_blend,5,5,4,1,0,1.0,0.8,0.8,8.809999999999999,12.21714445339967,5.04,0.5208566211973835,3.0,0.3212594883772505,0.019084889497026282,5,344,172,17.2,0.28060813884272606,201,177,0.09535142532210254,1.3856860148500982
p06,cosine_blend,5,5,5,0,0,1.0,1.0,1.0,7.58,10.498957814800088,4.26,0.5670190556635085,4.0,0.3395270247337538,0.027126635156401263,5,296,148,14.799999999999999,0.2807261628531929,175,153,0.11410354959495629,1.3847458914173214
p09,autonomous,5,5,0,5,0,1.0,0.0,0.0,14.0,7.673202941400087,0.0,0.0,0.0,,,0,0,0,0.0,0.0,0,280,0.09111658614634248,0.5480859243857205
p09,fixed_blend,5,5,1,4,0,1.0,0.2,0.2,13.2,18.3719269964,10.91,0.8232857142857142,5.0,0.36110960873209513,0.027033776695447986,5,518,259,25.9,0.2817561335546947,430,264,0.09541405752271671,1.3914760159200106
p09,cosine_blend,5,5,5,0,0,1.0,1.0,1.0,10.26,14.229002235399822,7.06,0.6893770324082747,4.0,0.37443232189117065,0.01780537053994263,5,401,201,20.05,0.2809649140024435,277,206,0.0955049521310075,1.3866495311316709
