episode_id,condition_id,trial_index,metrics_available,active_blending_step_count,weight_count,undefined_weight_count,weight_mean,weight_median,weight_sd,weight_min,weight_max,weight_p10,weight_p25,weight_p75,weight_p90,near_zero_fraction,near_one_fraction,intermediate_fraction,consecutive_weight_pair_count,material_change_fraction,cosine_similarity_count,cosine_similarity_mean,near_zero_max,near_one_min,material_change_min
trial_000__condition_p06__mode_cosine_blend,p06,0,1,100,100,0,0.6496433814185566,0.9182700551240157,0.3784722979283121,0.0032683508363311195,0.99636523055937,0.0059780088038229075,0.2669653374531502,0.9492764734575574,0.9864997833503824,0.18,0.53,0.29,94,0.2872340425531915,100,0.1444109979605091,0.1,0.9,0.05
trial_000__condition_nominal__mode_cosine_blend,nominal,0,1,28,28,0,0.8685720821131441,0.9516578838493769,0.1732692213662059,0.45106702541608457,0.9831686746544032,0.5452164694104311,0.8449008426733664,0.9727517213118986,0.9790826895251376,0.0,0.7142857142857143,0.2857142857142857,26,0.2692307692307692,28,0.429091038635153,0.1,0.9,0.05
trial_000__condition_p09__mode_cosine_blend,p09,0,1,154,154,0,0.5500431484313082,0.6601535326120955,0.3848091823207137,0.00469239970348096,0.9961126234054727,0.012566709337649942,0.11199091163937103,0.9262134130175003,0.989592504619861,0.24025974025974026,0.3116883116883117,0.44805194805194803,152,0.3223684210526316,154,0.04819113174883967,0.1,0.9,0.05
trial_000__condition_p02__mode_cosine_blend,p02,0,1,110,110,0,0.7625008391880348,0.970390686700158,0.33025512879126134,0.00850195508261311,0.9970117085244522,0.14792763222908956,0.49960133291141245,0.993850905946548,0.9964650698829605,0.05454545454545454,0.6181818181818182,0.32727272727272727,104,0.3557692307692308,110,0.42793672218582035,0.1,0.9,0.05
trial_001__condition_p06__mode_cosine_blend,p06,1,1,91,91,0,0.660717144094173,0.91628724502312,0.37427681788352096,0.0029027446313149336,0.9972568814598018,0.058665462562203015,0.327346012537702,0.9927254199802447,0.9961946975826066,0.14285714285714285,0.5054945054945055,0.3516483516483517,87,0.3103448275862069,91,0.2933303501498819,0.1,0.9,0.05
trial_001__condition_p02__mode_cosine_blend,p02,1,1,64,64,0,0.6028235929401681,0.6677447674053559,0.273276520576543,0.0042784355758160525,0.9836256794652619,0.0671512802288146,0.49581993229490334,0.7702000353159105,0.8955527597019649,0.109375,0.109375,0.78125,62,0.5161290322580645,64,0.055157721781872296,0.1,0.9,0.05
trial_001__condition_p09__mode_cosine_blend,p09,1,1,179,179,0,0.4821472470258576,0.5291918272265731,0.3733850824688762,0.004182777378433888,0.997278351318466,0.015066812169764266,0.09654282265280753,0.8652791919218931,0.9843253606112458,0.2681564245810056,0.22905027932960895,0.5027932960893855,169,0.42011834319526625,179,-0.02092087162959704,0.1,0.9,0.05
trial_001__condition_nominal__mode_cosine_blend,nominal,1,1,43,43,0,0.6529093794881476,0.6956218713287182,0.36541216000551213,0.007873870654004264,0.9973316997152004,0.06609420362677831,0.4125871594904419,0.9921108531442351,0.9963315742384425,0.13953488372093023,0.46511627906976744,0.3953488372093023,40,0.45,43,0.29528703050916133,0.1,0.9,0.05
trial_002__condition_p02__mode_cosine_blend,p02,2,1,162,162,0,0.6704581036244884,0.897664151896338,0.383239560758023,0.0025842229600597077,0.99742408184555,0.020241621900771143,0.36810033149045307,0.9889651487455589,0.9969312078991353,0.2037037037037037,0.49382716049382713,0.30246913580246915,150,0.32666666666666666,162,0.24246328447463708,0.1,0.9,0.05
trial_002__condition_nominal__mode_cosine_blend,nominal,2,1,18,18,0,0.9518852659018374,0.9873720820410796,0.11658217624901966,0.5017917331511575,0.9965185460476831,0.9337808431785387,0.9714113652226926,0.9952158146045914,0.9960523466384053,0.0,0.8888888888888888,0.1111111111111111,17,0.11764705882352941,18,0.6902848275219052,0.1,0.9,0.05
trial_002__condition_p09__mode_cosine_blend,p09,2,1,113,113,0,0.6041685568808162,0.6676734793615096,0.32574202260226487,0.017988285362624944,0.99725339220408,0.05083833798578062,0.3356829886772407,0.870095396357557,0.99493285270056,0.12389380530973451,0.18584070796460178,0.6902654867256637,110,0.35454545454545455,113,0.137949772056706,0.1,0.9,0.05
trial_002__condition_p06__mode_cosine_blend,p06,2,1,90,90,0,0.7262151616221849,0.8800681988893146,0.32703912802336477,0.053635278126173816,0.9974137999408424,0.12212855626028728,0.507357599110578,0.9939631201630857,0.9951182559269482,0.07777777777777778,0.4888888888888889,0.43333333333333335,86,0.36046511627906974,90,0.36850300872555675,0.1,0.9,0.05
trial_003__condition_nominal__mode_cosine_blend,nominal,3,1,35,35,0,0.7845335261234295,0.9025923530070955,0.26855738633737425,0.062031666714316945,0.997165625531417,0.42114968041999407,0.6475993811369162,0.9953180127707648,0.9970020841282765,0.02857142857142857,0.5142857142857142,0.45714285714285713,33,0.3333333333333333,35,0.44099302923417855,0.1,0.9,0.05
trial_003__condition_p09__mode_cosine_blend,p09,3,1,124,124,0,0.6969852740139686,0.7980383869238097,0.29544638932198863,0.02531637008730755,0.9974579174262428,0.28332114778302625,0.4565356848802622,0.9598885017067528,0.9963612149485676,0.056451612903225805,0.3548387096774194,0.5887096774193549,121,0.2892561983471074,124,0.27645247477898566,0.1,0.9,0.05
trial_003__condition_p02__mode_cosine_blend,p02,3,1,142,142,0,0.6458852547212613,0.8951763221328792,0.4116217175464592,0.002653399397988807,0.9973637748214702,0.016180008708295418,0.1394467001021575,0.989166008974893,0.9964342225852777,0.2323943661971831,0.49295774647887325,0.2746478873239437,133,0.2706766917293233,142,0.22935910582044217,0.1,0.9,0.05
trial_003__condition_p06__mode_cosine_blend,p06,3,1,81,81,0,0.7631938783594643,0.9595062357610301,0.31471446421196664,0.03046653033459911,0.9970828786518037,0.12781606711957474,0.6077439631712177,0.995299372328059,0.9963410885761967,0.07407407407407407,0.5802469135802469,0.345679012345679,79,0.189873417721519,81,0.44008012040677463,0.1,0.9,0.05
trial_004__condition_nominal__mode_cosine_blend,nominal,4,1,30,30,0,0.9236351016532349,0.9890941960594946,0.14597758357206023,0.5208886760567963,0.9962919001013762,0.6538133489973253,0.970828572967069,0.9942374754682106,0.9955108617187775,0.0,0.8333333333333334,0.16666666666666666,28,0.14285714285714285,30,0.6541551648605306,0.1,0.9,0.05
trial_004__condition_p02__mode_cosine_blend,p02,4,1,132,132,0,0.7302294453360122,0.9347269678072929,0.35508073421695474,0.007723896425040587,0.9971237584263632,0.04832275798187262,0.5953059099428798,0.9922389849054343,0.9962977831970021,0.13636363636363635,0.5454545454545454,0.3181818181818182,128,0.2890625,132,0.3500182312043523,0.1,0.9,0.05
