order_index,episode_id,mode,condition_id,trial_index,initial_state_index,policy_episode_seed,policy_seed_protocol,schedule_status,selected_attempt_number,selected_attempt_valid,metrics_available,success,termination_reason,control_steps,logged_steps,simulated_duration_seconds,raw_simulated_duration_seconds,wall_control_duration_seconds,wall_total_duration_seconds,wall_simulation_ratio,human_active_steps,human_active_duration_seconds,human_active_fraction,correction_segments,translation_magnitude_mean,translation_magnitude_active_mean,translation_magnitude_max,rotation_magnitude_mean,rotation_magnitude_active_mean,rotation_magnitude_max,policy_wait_ticks,policy_wait_events,policy_wait_duration_seconds,policy_wait_wall_seconds,policy_wait_fraction,human_active_policy_wait_ticks,human_active_policy_wait_seconds,human_active_policy_wait_fraction,inference_count,inference_latency_mean_seconds,inference_latency_median_seconds,inference_latency_sd_seconds,inference_latency_min_seconds,inference_latency_max_seconds,inference_latency_p90_seconds,summary_path
0,trial_000__condition_nominal__mode_autonomous,autonomous,nominal,0,0,1594108130,saps-policy-seed-v1,completed,1,1,1,1,success,151,151,7.55,7.55,3.988444762999279,6.712133477998577,0.5282708295363284,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,31,0.09096777658076814,0.09071164399938425,0.001072186883494624,0.08974317200045334,0.09404656300102943,0.09233686500010663,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_000/summary.json
1,trial_000__condition_p02__mode_autonomous,autonomous,p02,0,0,1805589632,saps-policy-seed-v1,completed,1,1,1,1,success,235,235,11.75,11.75,5.98522411399972,6.563122651998128,0.5093807756595506,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,47,0.09055457253209093,0.0904481500001566,0.0008412956603075472,0.08939407800062327,0.09470368199981749,0.09134601620098692,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_000/summary.json
2,trial_000__condition_p06__mode_autonomous,autonomous,p06,0,0,531065419,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.332333014997857,7.896198867001658,0.5237380724998469,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09325293924991586,0.09182322800188558,0.0032655598045328665,0.08990406199882273,0.10261959200215642,0.09809421049976663,outputs/gate2_autonomous_pilot_v2/p06/task_01/init_000/trial_000/summary.json
3,trial_000__condition_p09__mode_autonomous,autonomous,p09,0,0,820753697,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.961343990002206,8.498449916998652,0.5686674278573004,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09207971608917173,0.09143684450100409,0.0018150719259235819,0.08986604100209661,0.09733142799814232,0.09447240400186274,outputs/gate2_autonomous_pilot_v2/p09/task_01/init_000/trial_000/summary.json
4,trial_001__condition_p02__mode_autonomous,autonomous,p02,1,0,1280121721,saps-policy-seed-v1,completed,1,1,1,1,success,243,243,12.15,12.15,6.299174124000274,6.859585802998481,0.5184505451852077,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,49,0.09132053500025923,0.09126975699837203,0.001053061829804774,0.08954399799767998,0.09453559800022049,0.09250262999921688,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_001/summary.json
5,trial_001__condition_p06__mode_autonomous,autonomous,p06,1,0,1630501309,saps-policy-seed-v1,completed,1,1,1,1,success,263,263,13.15,13.15,6.832486650997453,7.384346388000267,0.5195807339161561,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,53,0.09130289073601609,0.0909952539986989,0.0011170807736220864,0.08962988900020719,0.09439809999821591,0.09250498219917062,outputs/gate2_autonomous_pilot_v2/p06/task_01/init_000/trial_001/summary.json
6,trial_001__condition_p09__mode_autonomous,autonomous,p09,1,0,279031833,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.419596157000342,7.976654971000244,0.529971154071453,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.0908839132319242,0.09074832149963186,0.001003146641017732,0.08938445999956457,0.09434731500005,0.0921407565001573,outputs/gate2_autonomous_pilot_v2/p09/task_01/init_000/trial_001/summary.json
7,trial_001__condition_nominal__mode_autonomous,autonomous,nominal,1,0,252540981,saps-policy-seed-v1,completed,1,1,1,1,success,123,123,6.15,6.15,3.2137321480004175,3.753804021001997,0.5225580728455963,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,25,0.0911204341200937,0.0909968560008565,0.001063460124802724,0.0897213889984414,0.09343523799907416,0.09243122200059588,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_001/summary.json
8,trial_002__condition_p06__mode_autonomous,autonomous,p06,2,0,328150321,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.26838810299887,7.806977971999004,0.5191705787856336,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09090616339296632,0.09084021849957935,0.0008455983345721427,0.08965918300236808,0.09439692800151533,0.09181253699898662,outputs/gate2_autonomous_pilot_v2/p06/task_01/init_000/trial_002/summary.json
9,trial_002__condition_p09__mode_autonomous,autonomous,p09,2,0,842708994,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.9801749539983575,8.541637673999503,0.5700124967141684,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09081605992858906,0.09057396499883907,0.0008948778919809342,0.0894438609975623,0.0936241119998158,0.09186511050029367,outputs/gate2_autonomous_pilot_v2/p09/task_01/init_000/trial_002/summary.json
10,trial_002__condition_nominal__mode_autonomous,autonomous,nominal,2,0,846374469,saps-policy-seed-v1,completed,1,1,1,1,success,124,124,6.2,6.2,3.2250218260014663,3.7780932360001316,0.5201648106453978,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,25,0.09131538660061779,0.09123433000058867,0.0010034697570588725,0.09009752299971296,0.09517409200270777,0.0921397682010138,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_002/summary.json
11,trial_002__condition_p02__mode_autonomous,autonomous,p02,2,0,762959635,saps-policy-seed-v1,completed,1,1,1,1,success,261,261,13.05,13.05,6.759804867997445,7.304113082002004,0.517992710191375,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,53,0.09077687556604154,0.09064471699821297,0.001043721874140313,0.08949274199767387,0.09386142500079586,0.0924429354025051,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_002/summary.json
12,trial_003__condition_p09__mode_autonomous,autonomous,p09,3,0,409407624,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.558536550001008,8.125001999000233,0.5398954678572149,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09069414624998119,0.09059892100049183,0.0008163179165580233,0.08957264100172324,0.09311231300307554,0.09192661549968761,outputs/gate2_autonomous_pilot_v2/p09/task_01/init_000/trial_003/summary.json
13,trial_003__condition_nominal__mode_autonomous,autonomous,nominal,3,0,1367343007,saps-policy-seed-v1,completed,1,1,1,1,success,150,150,7.5,7.5,3.8672067539991986,4.433861646000878,0.5156275671998931,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,30,0.09111054160008886,0.09087507799995365,0.0009986490153316829,0.08977990900166333,0.09479843799999799,0.09204076570058532,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_003/summary.json
14,trial_003__condition_p02__mode_autonomous,autonomous,p02,3,0,1694273979,saps-policy-seed-v1,completed,1,1,1,1,success,216,216,10.8,10.8,5.61095063799803,6.161379141998623,0.519532466481299,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,44,0.0909967602953078,0.09081653300017933,0.0008122174608395117,0.08970435799710685,0.09416430100100115,0.09186960449951584,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_003/summary.json
15,trial_003__condition_p06__mode_autonomous,autonomous,p06,3,0,427257404,saps-policy-seed-v1,completed,1,1,1,0,timeout,280,280,14.0,14.0,7.195274308996886,7.747323774998222,0.513948164928349,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09049325510724364,0.09029368000119575,0.000689009735527921,0.08951308999894536,0.09224601200185134,0.09139602200048103,outputs/gate2_autonomous_pilot_v2/p06/task_01/init_000/trial_003/summary.json
16,trial_004__condition_nominal__mode_autonomous,autonomous,nominal,4,0,1611811172,saps-policy-seed-v1,completed,1,1,1,1,success,123,123,6.15,6.15,3.212511646997882,3.767495501000667,0.5223596173980296,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,25,0.09118030388024635,0.09092225499989581,0.0011674600407922569,0.0898439580014383,0.09491001700007473,0.09264852879932732,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_004/summary.json
17,trial_004__condition_p02__mode_autonomous,autonomous,p02,4,0,1327508485,saps-policy-seed-v1,completed,1,1,1,1,success,280,280,14.0,14.0,7.161146765000012,7.7440416179997555,0.5115104832142866,0,0.0,0.0,0,,,,,,,0,0,0.0,0.0,0.0,0,0.0,0.0,56,0.09089276642842899,0.09074733299894433,0.0008962327815465092,0.08969663300013053,0.09493088500312297,0.09180151550026494,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_004/summary.json
