condition_id,trial_index,initial_state_index,policy_episode_seed,policy_seed_protocol,autonomous_success,fixed_blend_success,cosine_blend_success,autonomous_simulated_duration_seconds,fixed_blend_simulated_duration_seconds,cosine_blend_simulated_duration_seconds,autonomous_wall_control_duration_seconds,fixed_blend_wall_control_duration_seconds,cosine_blend_wall_control_duration_seconds,autonomous_summary_path,fixed_blend_summary_path,cosine_blend_summary_path
nominal,0,0,1594108130,saps-policy-seed-v1,1,1,1,7.55,7.6,6.35,3.988444762999279,10.558099425001274,8.808418148000783,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_000/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_000__condition_nominal__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/nominal/task_01/init_000/trial_000/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_000__condition_nominal__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/nominal/task_01/init_000/trial_000/summary.json
nominal,1,0,252540981,saps-policy-seed-v1,1,1,1,6.15,7.0,8.3,3.2137321480004175,9.659825876002287,11.558173617999273,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_001/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_001__condition_nominal__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/nominal/task_01/init_000/trial_001/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_001__condition_nominal__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/nominal/task_01/init_000/trial_001/summary.json
nominal,2,0,846374469,saps-policy-seed-v1,1,1,1,6.2,6.7,6.2,3.2250218260014663,9.258481537999614,8.557983848000731,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_002/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_002__condition_nominal__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/nominal/task_01/init_000/trial_002/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_002__condition_nominal__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/nominal/task_01/init_000/trial_002/summary.json
nominal,3,0,1367343007,saps-policy-seed-v1,1,1,1,7.5,6.75,6.55,3.8672067539991986,9.309944033000647,9.107872247001069,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_003/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_003__condition_nominal__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/nominal/task_01/init_000/trial_003/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_003__condition_nominal__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/nominal/task_01/init_000/trial_003/summary.json
nominal,4,0,1611811172,saps-policy-seed-v1,1,1,1,6.15,7.0,6.4,3.212511646997882,9.660310989002028,8.859310795000056,outputs/gate2_autonomous_pilot_v2/nominal/task_01/init_000/trial_004/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_004__condition_nominal__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/nominal/task_01/init_000/trial_004/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_004__condition_nominal__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/nominal/task_01/init_000/trial_004/summary.json
p02,0,0,1805589632,saps-policy-seed-v1,1,1,1,11.75,8.25,11.3,5.98522411399972,11.411504216001049,15.759434341001906,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_000/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_000__condition_p02__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/p02/task_01/init_000/trial_000/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_000__condition_p02__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/p02/task_01/init_000/trial_000/summary.json
p02,1,0,1280121721,saps-policy-seed-v1,1,1,1,12.15,7.9,7.9,6.299174124000274,10.959046085998125,10.957488127998658,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_001/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_001__condition_p02__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/p02/task_01/init_000/trial_001/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_001__condition_p02__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/p02/task_01/init_000/trial_001/summary.json
p02,2,0,762959635,saps-policy-seed-v1,1,1,0,13.05,8.2,14.0,6.759804867997445,11.358769361999293,19.450109602999873,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_002/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_002__condition_p02__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/p02/task_01/init_000/trial_002/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_002__condition_p02__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/p02/task_01/init_000/trial_002/summary.json
p02,3,0,1694273979,saps-policy-seed-v1,1,1,0,10.8,8.45,14.0,5.61095063799803,11.708153694002249,19.500101351997728,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_003/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_003__condition_p02__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/p02/task_01/init_000/trial_003/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_003__condition_p02__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/p02/task_01/init_000/trial_003/summary.json
p02,4,0,1327508485,saps-policy-seed-v1,1,1,1,14.0,7.95,10.55,7.161146765000012,11.008862386999681,14.709443286999885,outputs/gate2_autonomous_pilot_v2/p02/task_01/init_000/trial_004/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_004__condition_p02__mode_fixed_blend/attempt_001/fixed_blend/alpha_0p500/p02/task_01/init_000/trial_004/summary.json,outputs/gate2_shared_autonomy_pilot_v2/attempts/trial_004__condition_p02__mode_cosine_blend/attempt_001/cosine_blend/k_6p000/p02/task_01/init_000/trial_004/summary.json
