episode_id,mode,condition_id,trial_index,metrics_available,control_steps,policy_wait_ticks,policy_wait_events,policy_wait_duration_seconds,policy_wait_wall_seconds,policy_wait_fraction,human_active_policy_wait_ticks,human_active_policy_wait_seconds,human_active_policy_wait_fraction,inference_count,inference_latency_mean_seconds,inference_latency_median_seconds,inference_latency_sd_seconds,inference_latency_min_seconds,inference_latency_max_seconds,inference_latency_p90_seconds,wall_simulation_ratio
trial_000__condition_p06__mode_cosine_blend,cosine_blend,p06,0,1,200,78,39,3.9,3.899858665466306,0.2805755395683453,43,2.15,0.5512820512820513,40,0.16642011547492075,0.09520946849988832,0.4489075224814039,0.09355339499961701,2.9345682929997565,0.09879104279934836,1.3860078412999428
trial_000__condition_nominal__mode_cosine_blend,cosine_blend,nominal,0,1,127,50,25,2.5,2.499614953994751,0.2824858757062147,10,0.5,0.2,26,0.09548598684621258,0.09490811300020141,0.0016423232197784329,0.09261471599893412,0.09927211499962141,0.09767325700158835,1.3871524642520918
trial_000__condition_p09__mode_fixed_blend,fixed_blend,p09,0,1,280,110,55,5.5,5.499723672866816,0.28205128205128205,90,4.5,0.8181818181818182,56,0.09562202876778818,0.09539459550069296,0.0012737272302761208,0.09317345899762586,0.0990776079997886,0.09703130299931217,1.3928653812857061
trial_000__condition_nominal__mode_fixed_blend,fixed_blend,nominal,0,1,152,60,30,3.0,2.999518871307372,0.2830188679245283,6,0.3,0.1,31,0.0958435037098224,0.09586050399957458,0.0018075652477751024,0.09338522200050647,0.10143988600248122,0.09733718799907365,1.3892236085527991
trial_000__condition_p09__mode_cosine_blend,cosine_blend,p09,0,1,205,80,40,4.0,3.9989817142486546,0.2807017543859649,58,2.9,0.725,41,0.09551650895144387,0.0950027670005511,0.001455796269741988,0.09355805400264217,0.09918017499876441,0.09842394000224886,1.3863659406829023
trial_000__condition_p02__mode_fixed_blend,fixed_blend,p02,0,1,165,64,32,3.2,3.199558353424071,0.2794759825327511,41,2.05,0.640625,33,0.09545593578811597,0.09524577999764006,0.0015959993182774496,0.09281320799709647,0.09933271900081309,0.09771632160263835,1.3832126322425513
trial_000__condition_p06__mode_fixed_blend,fixed_blend,p06,0,1,150,58,29,2.9,2.9002055644989,0.27884615384615385,23,1.15,0.39655172413793105,30,0.0955177979668709,0.09531020899885334,0.0016256905499571243,0.09240097499787225,0.09947972200097865,0.09778333889953501,1.3812717957329974
trial_000__condition_p02__mode_cosine_blend,cosine_blend,p02,0,1,226,90,45,4.5,4.49999380111694,0.2848101265822785,45,2.25,0.5,46,0.09531873554339615,0.09518440249848936,0.0016255001224986668,0.09188717199867824,0.09904657999868505,0.09762124299959396,1.3946402071683102
trial_001__condition_p06__mode_cosine_blend,cosine_blend,p06,1,1,156,62,31,3.1,3.0988886833190907,0.28440366972477066,38,1.9,0.6129032258064516,32,0.09593865162526072,0.09557024249988899,0.0016150514163729562,0.09395355699962238,0.10001191400078824,0.09857340670059785,1.3920297960258046
trial_001__condition_p02__mode_fixed_blend,fixed_blend,p02,1,1,158,62,31,3.1,3.099675464630126,0.2818181818181818,30,1.5,0.4838709677419355,32,0.09574538106267028,0.09522086200013291,0.0019077890858957653,0.09262410800147336,0.10200128599899472,0.09807536870102922,1.3872210235440663
trial_001__condition_nominal__mode_fixed_blend,fixed_blend,nominal,1,1,140,54,27,2.7,2.6988440513610836,0.27835051546391754,16,0.8,0.2962962962962963,28,0.09617698332164894,0.09571576750022359,0.0017022421519514493,0.09376812800110201,0.1000691490007739,0.09934422290061776,1.379975125143184
trial_001__condition_p02__mode_cosine_blend,cosine_blend,p02,1,1,158,62,31,3.1,3.0991514205932607,0.2818181818181818,27,1.35,0.43548387096774194,32,0.09558111596902563,0.09500034200027585,0.0018032015611991318,0.09328788800121401,0.10004279799977667,0.09850339399890799,1.3870238136707163
trial_001__condition_p09__mode_cosine_blend,cosine_blend,p09,1,1,273,107,54,5.35,5.348904800415034,0.28157894736842104,71,3.55,0.6635514018691588,55,0.09569190643643113,0.09553896799843642,0.0015084752869946858,0.09195444099896122,0.10015063900209498,0.09728794700131402,1.3888939698901575
trial_001__condition_p06__mode_fixed_blend,fixed_blend,p06,1,1,143,56,28,2.8,2.799058103561401,0.2814070351758794,26,1.3,0.4642857142857143,29,0.09582898951690556,0.0953492720000213,0.0015987128640732944,0.09408274200177402,0.10033933999875444,0.09822283780158614,1.3858725262939737
trial_001__condition_nominal__mode_cosine_blend,cosine_blend,nominal,1,1,166,66,33,3.3,3.2999478816986065,0.28448275862068967,16,0.8,0.24242424242424243,34,0.09599691894115547,0.09557487799975206,0.0020119779661122686,0.09309176800161367,0.10103512099885847,0.09922162759830826,1.3925510383131654
trial_001__condition_p09__mode_fixed_blend,fixed_blend,p09,1,1,280,110,55,5.5,5.499655961990351,0.28205128205128205,84,4.2,0.7636363636363637,56,0.09546675753595732,0.09531508550207946,0.0014746587410807816,0.09315105700079584,0.1008977129968116,0.09683960300026229,1.3928646277857166
trial_002__condition_nominal__mode_fixed_blend,fixed_blend,nominal,2,1,134,52,26,2.6,2.599612522125244,0.27956989247311825,11,0.55,0.21153846153846154,27,0.09626984237008772,0.0957764179984224,0.0021624928283830837,0.09388541900261771,0.10230634600156918,0.0993825690005906,1.3818629161193454
trial_002__condition_p02__mode_cosine_blend,cosine_blend,p02,2,1,280,109,55,5.45,5.449841737747187,0.2802056555269923,60,3.0,0.5504587155963303,56,0.09536171910732653,0.09497103449939459,0.0015373290878574924,0.0927457459983998,0.10035909100042772,0.09653947399965546,1.3892935430714195
trial_002__condition_nominal__mode_cosine_blend,cosine_blend,nominal,2,1,124,48,24,2.4,2.399893474578857,0.27906976744186046,6,0.3,0.125,25,0.09547177976011881,0.09495457700177212,0.0017280265023078107,0.0934964999978547,0.101245748999645,0.09744422059884528,1.3803199754839888
trial_002__condition_p02__mode_fixed_blend,fixed_blend,p02,2,1,164,64,32,3.2,3.197475767135619,0.2807017543859649,37,1.85,0.578125,33,0.09583035854501015,0.09547194499828038,0.0012759253536961301,0.09409909600071842,0.09915026700036833,0.09800684579968219,1.3852157758535726
trial_002__condition_p09__mode_cosine_blend,cosine_blend,p09,2,1,169,66,33,3.3,3.299513244628905,0.28085106382978725,44,2.2,0.6666666666666666,34,0.09563704623456835,0.09516088650161691,0.0015872482489271418,0.09381600499909837,0.09946538599979249,0.09894744539924431,1.3856308893489167
trial_002__condition_p06__mode_cosine_blend,cosine_blend,p06,2,1,139,54,27,2.7,2.6994701385498043,0.27979274611398963,33,1.65,0.6111111111111112,28,0.0954555779648477,0.09530642799836642,0.0012767663920750572,0.09383728499960853,0.10004246500102454,0.0963893507996545,1.382632426043496
trial_002__condition_p09__mode_fixed_blend,fixed_blend,p09,2,1,280,110,55,5.5,5.4983446598052925,0.28205128205128205,100,5.0,0.9090909090909091,56,0.09527393980358413,0.09510894249979174,0.0010524802725365697,0.09314618999997037,0.09986410000055912,0.09642311649986368,1.3928638866429017
trial_002__condition_p06__mode_fixed_blend,fixed_blend,p06,2,1,159,62,31,3.1,3.100021648406981,0.28054298642533937,42,2.1,0.6774193548387096,32,0.09509068181228031,0.09484937100023672,0.0012679636169278458,0.09351689300092403,0.09921774000031292,0.09678337459845353,1.3847189030186098
trial_003__condition_nominal__mode_cosine_blend,cosine_blend,nominal,3,1,131,52,26,2.6,2.5997457981109617,0.28415300546448086,14,0.7,0.2692307692307692,27,0.09512140340787785,0.09470217000125558,0.0014832732450579004,0.09304662200156599,0.0990675069988356,0.09644397680021939,1.3905148468703923
trial_003__condition_p09__mode_fixed_blend,fixed_blend,p09,3,1,200,78,39,3.9,3.899825286865232,0.2805755395683453,60,3.0,0.7692307692307693,40,0.09568553674980648,0.09546707549998246,0.001096873486471139,0.09411366700078361,0.09908863700184156,0.09664281499863137,1.3859215331001906
trial_003__condition_p02__mode_fixed_blend,fixed_blend,p02,3,1,169,66,33,3.3,3.298619651794432,0.28085106382978725,40,2.0,0.6060606060606061,34,0.09525233317649776,0.09497455749988148,0.0010249730016887936,0.0938260889997764,0.09783017199879396,0.09687065170001005,1.3855803188168343
trial_003__condition_p09__mode_cosine_blend,cosine_blend,p09,3,1,184,72,36,3.6,3.599269199371336,0.28125,50,2.5,0.6944444444444444,37,0.0952607798918089,0.09534416900351061,0.0012124437838327464,0.0925370369986922,0.0983687080006348,0.09638030719870586,1.3867322953260357
trial_003__condition_p02__mode_cosine_blend,cosine_blend,p02,3,1,280,110,55,5.5,5.4988212585449165,0.28205128205128205,54,2.7,0.4909090909090909,56,0.09537720207169643,0.09525531650069752,0.0011065113524683955,0.09352390300045954,0.09988639700168278,0.09660785799860605,1.392864382285552
trial_003__condition_p06__mode_fixed_blend,fixed_blend,p06,3,1,280,110,55,5.5,5.498317718505854,0.28205128205128205,96,4.8,0.8727272727272727,56,0.09521420103620974,0.09496914050032501,0.0009208950400075213,0.09369345899904147,0.0980653290025657,0.0964211524988059,1.3928636534999117
trial_003__condition_nominal__mode_fixed_blend,fixed_blend,nominal,3,1,135,52,26,2.6,2.598821449279785,0.27807486631016043,20,1.0,0.38461538461538464,27,0.09549707437044061,0.09500411100088968,0.0013223766794685447,0.09420573599709314,0.10047172999838949,0.0968279758002609,1.3792509678519478
trial_003__condition_p06__mode_cosine_blend,cosine_blend,p06,3,1,130,50,25,2.5,2.499342441558838,0.2777777777777778,33,1.65,0.66,26,0.09570752484628778,0.09551271650161652,0.0010909650704784921,0.09381733900227118,0.09928289500021492,0.09650921049978933,1.3784138481535662
trial_004__condition_p09__mode_fixed_blend,fixed_blend,p09,4,1,280,110,55,5.5,5.497881174087519,0.28205128205128205,96,4.8,0.8727272727272727,56,0.09509959024990167,0.09485044199936965,0.0008832453692991966,0.09382114500112948,0.09788200399998459,0.09609373199782567,1.3928646507855384
trial_004__condition_p06__mode_fixed_blend,fixed_blend,p06,4,1,149,58,29,2.9,2.900432538986205,0.28019323671497587,14,0.7,0.2413793103448276,30,0.09525768569983484,0.09517842399873189,0.0012088879963260692,0.09301346400025068,0.09809259699977702,0.09704562480073946,1.3837031957049988
trial_004__condition_nominal__mode_cosine_blend,cosine_blend,nominal,4,1,128,50,25,2.5,2.4997384548187256,0.2808988764044944,13,0.65,0.26,26,0.09558770815335894,0.09541188050025085,0.0012433819363476058,0.09355305299686734,0.09937229999923147,0.0971210739990056,1.3842673117187587
trial_004__condition_p02__mode_cosine_blend,cosine_blend,p02,4,1,211,84,42,4.2,4.199614381790158,0.2847457627118644,49,2.45,0.5833333333333334,43,0.09505075820908492,0.09475382900200202,0.0010154080083036605,0.09379330199953984,0.09905765200164751,0.09621537600105512,1.3942600272037806
trial_004__condition_nominal__mode_fixed_blend,fixed_blend,nominal,4,1,140,54,27,2.7,2.6987713336944577,0.27835051546391754,12,0.6,0.2222222222222222,28,0.09572410960663547,0.09539581500030181,0.0013036887749836034,0.09414324599856627,0.10000798900000518,0.09667346689893748,1.3800444270002896
trial_004__condition_p02__mode_fixed_blend,fixed_blend,p02,4,1,159,62,31,3.1,3.0995977401733388,0.28054298642533937,22,1.1,0.3548387096774194,32,0.0956270445624341,0.09534411749882565,0.0013126034734781103,0.09395402100199135,0.10029268099970068,0.09674081550037954,1.3847625644024755
trial_004__condition_p06__mode_cosine_blend,cosine_blend,p06,4,1,133,52,26,2.6,2.5988834381103514,0.2810810810810811,28,1.4,0.5384615384615384,27,0.09517962177792301,0.09496148700054619,0.0011371868428102644,0.0940814900022815,0.09884521200001473,0.0968149699998321,1.3846455455637978
